,filled_template,possible_answers,answer_ix
51,"Q: Is this a valid syllogism?
All humans are friendly.
All humans smile.
Therefore humans smile because they are friendly.
A:","[' Yes', ' No']",1
52,"Q: Is this a valid syllogism?
All humans are angry.
All humans frown.
Therefore humans frown because they are angry.
A:","[' Yes', ' No']",1
53,"Q: Is this a valid syllogism?
All humans are brave.
All humans face their fears.
Therefore humans face their fears because they are brave.
A:","[' Yes', ' No']",1
54,"Q: Is this a valid syllogism?
All humans are scared.
All humans hide.
Therefore humans hide because they are scared.
A:","[' Yes', ' No']",1
55,"Q: Is this a valid syllogism?
All humans are smart.
All humans have good ideas.
Therefore humans have good ideas because they are smart.
A:","[' Yes', ' No']",1
56,"Q: Is this a valid syllogism?
All humans are lazy.
All humans do nothing.
Therefore humans do nothing because they are lazy.
A:","[' Yes', ' No']",1
57,"Q: Is this a valid syllogism?
All humans are busy.
All humans have no time.
Therefore humans have no time because they are busy.
A:","[' Yes', ' No']",1
58,"Q: Is this a valid syllogism?
All humans are in a rush.
All humans late.
Therefore humans late because they are in a rush.
A:","[' Yes', ' No']",1
59,"Q: Is this a valid syllogism?
All humans are conscientious.
All humans arrive on time.
Therefore humans arrive on time because they are conscientious.
A:","[' Yes', ' No']",1
60,"Q: Is this a valid syllogism?
All students are ambitious.
All students study hard.
Therefore students study hard because they are ambitious.
A:","[' Yes', ' No']",1
61,"Q: Is this a valid syllogism?
All students are friendly.
All students smile.
Therefore students smile because they are friendly.
A:","[' Yes', ' No']",1
62,"Q: Is this a valid syllogism?
All students are angry.
All students frown.
Therefore students frown because they are angry.
A:","[' Yes', ' No']",1
63,"Q: Is this a valid syllogism?
All students are brave.
All students face their fears.
Therefore students face their fears because they are brave.
A:","[' Yes', ' No']",1
64,"Q: Is this a valid syllogism?
All students are scared.
All students hide.
Therefore students hide because they are scared.
A:","[' Yes', ' No']",1
65,"Q: Is this a valid syllogism?
All students are smart.
All students have good ideas.
Therefore students have good ideas because they are smart.
A:","[' Yes', ' No']",1
66,"Q: Is this a valid syllogism?
All students are lazy.
All students do nothing.
Therefore students do nothing because they are lazy.
A:","[' Yes', ' No']",1
67,"Q: Is this a valid syllogism?
All students are busy.
All students have no time.
Therefore students have no time because they are busy.
A:","[' Yes', ' No']",1
68,"Q: Is this a valid syllogism?
All students are in a rush.
All students late.
Therefore students late because they are in a rush.
A:","[' Yes', ' No']",1
69,"Q: Is this a valid syllogism?
All students are conscientious.
All students arrive on time.
Therefore students arrive on time because they are conscientious.
A:","[' Yes', ' No']",1
70,"Q: Is this a valid syllogism?
All boys are ambitious.
All boys study hard.
Therefore boys study hard because they are ambitious.
A:","[' Yes', ' No']",1
71,"Q: Is this a valid syllogism?
All boys are friendly.
All boys smile.
Therefore boys smile because they are friendly.
A:","[' Yes', ' No']",1
72,"Q: Is this a valid syllogism?
All boys are angry.
All boys frown.
Therefore boys frown because they are angry.
A:","[' Yes', ' No']",1
73,"Q: Is this a valid syllogism?
All boys are brave.
All boys face their fears.
Therefore boys face their fears because they are brave.
A:","[' Yes', ' No']",1
74,"Q: Is this a valid syllogism?
All boys are scared.
All boys hide.
Therefore boys hide because they are scared.
A:","[' Yes', ' No']",1
75,"Q: Is this a valid syllogism?
All boys are smart.
All boys have good ideas.
Therefore boys have good ideas because they are smart.
A:","[' Yes', ' No']",1
76,"Q: Is this a valid syllogism?
All boys are lazy.
All boys do nothing.
Therefore boys do nothing because they are lazy.
A:","[' Yes', ' No']",1
77,"Q: Is this a valid syllogism?
All boys are busy.
All boys have no time.
Therefore boys have no time because they are busy.
A:","[' Yes', ' No']",1
78,"Q: Is this a valid syllogism?
All boys are in a rush.
All boys late.
Therefore boys late because they are in a rush.
A:","[' Yes', ' No']",1
79,"Q: Is this a valid syllogism?
All boys are conscientious.
All boys arrive on time.
Therefore boys arrive on time because they are conscientious.
A:","[' Yes', ' No']",1
80,"Q: Is this a valid syllogism?
All girls are ambitious.
All girls study hard.
Therefore girls study hard because they are ambitious.
A:","[' Yes', ' No']",1
81,"Q: Is this a valid syllogism?
All girls are friendly.
All girls smile.
Therefore girls smile because they are friendly.
A:","[' Yes', ' No']",1
82,"Q: Is this a valid syllogism?
All girls are angry.
All girls frown.
Therefore girls frown because they are angry.
A:","[' Yes', ' No']",1
83,"Q: Is this a valid syllogism?
All girls are brave.
All girls face their fears.
Therefore girls face their fears because they are brave.
A:","[' Yes', ' No']",1
84,"Q: Is this a valid syllogism?
All girls are scared.
All girls hide.
Therefore girls hide because they are scared.
A:","[' Yes', ' No']",1
85,"Q: Is this a valid syllogism?
All girls are smart.
All girls have good ideas.
Therefore girls have good ideas because they are smart.
A:","[' Yes', ' No']",1
86,"Q: Is this a valid syllogism?
All girls are lazy.
All girls do nothing.
Therefore girls do nothing because they are lazy.
A:","[' Yes', ' No']",1
87,"Q: Is this a valid syllogism?
All girls are busy.
All girls have no time.
Therefore girls have no time because they are busy.
A:","[' Yes', ' No']",1
88,"Q: Is this a valid syllogism?
All girls are in a rush.
All girls late.
Therefore girls late because they are in a rush.
A:","[' Yes', ' No']",1
89,"Q: Is this a valid syllogism?
All girls are conscientious.
All girls arrive on time.
Therefore girls arrive on time because they are conscientious.
A:","[' Yes', ' No']",1
90,"Q: Is this a valid syllogism?
All people are ambitious.
All people study hard.
Therefore people study hard because they are ambitious.
A:","[' Yes', ' No']",1
91,"Q: Is this a valid syllogism?
All people are friendly.
All people smile.
Therefore people smile because they are friendly.
A:","[' Yes', ' No']",1
92,"Q: Is this a valid syllogism?
All people are angry.
All people frown.
Therefore people frown because they are angry.
A:","[' Yes', ' No']",1
93,"Q: Is this a valid syllogism?
All people are brave.
All people face their fears.
Therefore people face their fears because they are brave.
A:","[' Yes', ' No']",1
94,"Q: Is this a valid syllogism?
All people are scared.
All people hide.
Therefore people hide because they are scared.
A:","[' Yes', ' No']",1
95,"Q: Is this a valid syllogism?
All people are smart.
All people have good ideas.
Therefore people have good ideas because they are smart.
A:","[' Yes', ' No']",1
96,"Q: Is this a valid syllogism?
All people are lazy.
All people do nothing.
Therefore people do nothing because they are lazy.
A:","[' Yes', ' No']",1
97,"Q: Is this a valid syllogism?
All people are busy.
All people have no time.
Therefore people have no time because they are busy.
A:","[' Yes', ' No']",1
98,"Q: Is this a valid syllogism?
All people are in a rush.
All people late.
Therefore people late because they are in a rush.
A:","[' Yes', ' No']",1
99,"Q: Is this a valid syllogism?
All people are conscientious.
All people arrive on time.
Therefore people arrive on time because they are conscientious.
A:","[' Yes', ' No']",1
100,"Q: Is this a valid syllogism?
All men are ambitious.
Men study hard.
Therefore men study hard because they are ambitious.
A:","[' Yes', ' No']",1
101,"Q: Is this a valid syllogism?
All men are friendly.
Men smile.
Therefore men smile because they are friendly.
A:","[' Yes', ' No']",1
102,"Q: Is this a valid syllogism?
All men are angry.
Men frown.
Therefore men frown because they are angry.
A:","[' Yes', ' No']",1
103,"Q: Is this a valid syllogism?
All men are brave.
Men face their fears.
Therefore men face their fears because they are brave.
A:","[' Yes', ' No']",1
104,"Q: Is this a valid syllogism?
All men are scared.
Men hide.
Therefore men hide because they are scared.
A:","[' Yes', ' No']",1
105,"Q: Is this a valid syllogism?
All men are smart.
Men have good ideas.
Therefore men have good ideas because they are smart.
A:","[' Yes', ' No']",1
106,"Q: Is this a valid syllogism?
All men are lazy.
Men do nothing.
Therefore men do nothing because they are lazy.
A:","[' Yes', ' No']",1
107,"Q: Is this a valid syllogism?
All men are busy.
Men have no time.
Therefore men have no time because they are busy.
A:","[' Yes', ' No']",1
108,"Q: Is this a valid syllogism?
All men are in a rush.
Men late.
Therefore men late because they are in a rush.
A:","[' Yes', ' No']",1
109,"Q: Is this a valid syllogism?
All men are conscientious.
Men arrive on time.
Therefore men arrive on time because they are conscientious.
A:","[' Yes', ' No']",1
110,"Q: Is this a valid syllogism?
All women are ambitious.
Women study hard.
Therefore women study hard because they are ambitious.
A:","[' Yes', ' No']",1
111,"Q: Is this a valid syllogism?
All women are friendly.
Women smile.
Therefore women smile because they are friendly.
A:","[' Yes', ' No']",1
112,"Q: Is this a valid syllogism?
All women are angry.
Women frown.
Therefore women frown because they are angry.
A:","[' Yes', ' No']",1
113,"Q: Is this a valid syllogism?
All women are brave.
Women face their fears.
Therefore women face their fears because they are brave.
A:","[' Yes', ' No']",1
114,"Q: Is this a valid syllogism?
All women are scared.
Women hide.
Therefore women hide because they are scared.
A:","[' Yes', ' No']",1
115,"Q: Is this a valid syllogism?
All women are smart.
Women have good ideas.
Therefore women have good ideas because they are smart.
A:","[' Yes', ' No']",1
116,"Q: Is this a valid syllogism?
All women are lazy.
Women do nothing.
Therefore women do nothing because they are lazy.
A:","[' Yes', ' No']",1
117,"Q: Is this a valid syllogism?
All women are busy.
Women have no time.
Therefore women have no time because they are busy.
A:","[' Yes', ' No']",1
118,"Q: Is this a valid syllogism?
All women are in a rush.
Women late.
Therefore women late because they are in a rush.
A:","[' Yes', ' No']",1
119,"Q: Is this a valid syllogism?
All women are conscientious.
Women arrive on time.
Therefore women arrive on time because they are conscientious.
A:","[' Yes', ' No']",1
120,"Q: Is this a valid syllogism?
All children are ambitious.
Children study hard.
Therefore children study hard because they are ambitious.
A:","[' Yes', ' No']",1
121,"Q: Is this a valid syllogism?
All children are friendly.
Children smile.
Therefore children smile because they are friendly.
A:","[' Yes', ' No']",1
122,"Q: Is this a valid syllogism?
All children are angry.
Children frown.
Therefore children frown because they are angry.
A:","[' Yes', ' No']",1
123,"Q: Is this a valid syllogism?
All children are brave.
Children face their fears.
Therefore children face their fears because they are brave.
A:","[' Yes', ' No']",1
124,"Q: Is this a valid syllogism?
All children are scared.
Children hide.
Therefore children hide because they are scared.
A:","[' Yes', ' No']",1
125,"Q: Is this a valid syllogism?
All children are smart.
Children have good ideas.
Therefore children have good ideas because they are smart.
A:","[' Yes', ' No']",1
126,"Q: Is this a valid syllogism?
All children are lazy.
Children do nothing.
Therefore children do nothing because they are lazy.
A:","[' Yes', ' No']",1
127,"Q: Is this a valid syllogism?
All children are busy.
Children have no time.
Therefore children have no time because they are busy.
A:","[' Yes', ' No']",1
128,"Q: Is this a valid syllogism?
All children are in a rush.
Children late.
Therefore children late because they are in a rush.
A:","[' Yes', ' No']",1
129,"Q: Is this a valid syllogism?
All children are conscientious.
Children arrive on time.
Therefore children arrive on time because they are conscientious.
A:","[' Yes', ' No']",1
130,"Q: Is this a valid syllogism?
All teenagers are ambitious.
Teenagers study hard.
Therefore teenagers study hard because they are ambitious.
A:","[' Yes', ' No']",1
131,"Q: Is this a valid syllogism?
All teenagers are friendly.
Teenagers smile.
Therefore teenagers smile because they are friendly.
A:","[' Yes', ' No']",1
132,"Q: Is this a valid syllogism?
All teenagers are angry.
Teenagers frown.
Therefore teenagers frown because they are angry.
A:","[' Yes', ' No']",1
133,"Q: Is this a valid syllogism?
All teenagers are brave.
Teenagers face their fears.
Therefore teenagers face their fears because they are brave.
A:","[' Yes', ' No']",1
134,"Q: Is this a valid syllogism?
All teenagers are scared.
Teenagers hide.
Therefore teenagers hide because they are scared.
A:","[' Yes', ' No']",1
135,"Q: Is this a valid syllogism?
All teenagers are smart.
Teenagers have good ideas.
Therefore teenagers have good ideas because they are smart.
A:","[' Yes', ' No']",1
136,"Q: Is this a valid syllogism?
All teenagers are lazy.
Teenagers do nothing.
Therefore teenagers do nothing because they are lazy.
A:","[' Yes', ' No']",1
137,"Q: Is this a valid syllogism?
All teenagers are busy.
Teenagers have no time.
Therefore teenagers have no time because they are busy.
A:","[' Yes', ' No']",1
138,"Q: Is this a valid syllogism?
All teenagers are in a rush.
Teenagers late.
Therefore teenagers late because they are in a rush.
A:","[' Yes', ' No']",1
139,"Q: Is this a valid syllogism?
All teenagers are conscientious.
Teenagers arrive on time.
Therefore teenagers arrive on time because they are conscientious.
A:","[' Yes', ' No']",1
140,"Q: Is this a valid syllogism?
All adults are ambitious.
Adults study hard.
Therefore adults study hard because they are ambitious.
A:","[' Yes', ' No']",1
141,"Q: Is this a valid syllogism?
All adults are friendly.
Adults smile.
Therefore adults smile because they are friendly.
A:","[' Yes', ' No']",1
142,"Q: Is this a valid syllogism?
All adults are angry.
Adults frown.
Therefore adults frown because they are angry.
A:","[' Yes', ' No']",1
143,"Q: Is this a valid syllogism?
All adults are brave.
Adults face their fears.
Therefore adults face their fears because they are brave.
A:","[' Yes', ' No']",1
144,"Q: Is this a valid syllogism?
All adults are scared.
Adults hide.
Therefore adults hide because they are scared.
A:","[' Yes', ' No']",1
145,"Q: Is this a valid syllogism?
All adults are smart.
Adults have good ideas.
Therefore adults have good ideas because they are smart.
A:","[' Yes', ' No']",1
146,"Q: Is this a valid syllogism?
All adults are lazy.
Adults do nothing.
Therefore adults do nothing because they are lazy.
A:","[' Yes', ' No']",1
147,"Q: Is this a valid syllogism?
All adults are busy.
Adults have no time.
Therefore adults have no time because they are busy.
A:","[' Yes', ' No']",1
148,"Q: Is this a valid syllogism?
All adults are in a rush.
Adults late.
Therefore adults late because they are in a rush.
A:","[' Yes', ' No']",1
149,"Q: Is this a valid syllogism?
All adults are conscientious.
Adults arrive on time.
Therefore adults arrive on time because they are conscientious.
A:","[' Yes', ' No']",1
150,"Q: Is this a valid syllogism?
All humans are ambitious.
Humans study hard.
Therefore humans study hard because they are ambitious.
A:","[' Yes', ' No']",1
151,"Q: Is this a valid syllogism?
All humans are friendly.
Humans smile.
Therefore humans smile because they are friendly.
A:","[' Yes', ' No']",1
152,"Q: Is this a valid syllogism?
All humans are angry.
Humans frown.
Therefore humans frown because they are angry.
A:","[' Yes', ' No']",1
153,"Q: Is this a valid syllogism?
All humans are brave.
Humans face their fears.
Therefore humans face their fears because they are brave.
A:","[' Yes', ' No']",1
154,"Q: Is this a valid syllogism?
All humans are scared.
Humans hide.
Therefore humans hide because they are scared.
A:","[' Yes', ' No']",1
155,"Q: Is this a valid syllogism?
All humans are smart.
Humans have good ideas.
Therefore humans have good ideas because they are smart.
A:","[' Yes', ' No']",1
156,"Q: Is this a valid syllogism?
All humans are lazy.
Humans do nothing.
Therefore humans do nothing because they are lazy.
A:","[' Yes', ' No']",1
157,"Q: Is this a valid syllogism?
All humans are busy.
Humans have no time.
Therefore humans have no time because they are busy.
A:","[' Yes', ' No']",1
158,"Q: Is this a valid syllogism?
All humans are in a rush.
Humans late.
Therefore humans late because they are in a rush.
A:","[' Yes', ' No']",1
159,"Q: Is this a valid syllogism?
All humans are conscientious.
Humans arrive on time.
Therefore humans arrive on time because they are conscientious.
A:","[' Yes', ' No']",1
160,"Q: Is this a valid syllogism?
All students are ambitious.
Students study hard.
Therefore students study hard because they are ambitious.
A:","[' Yes', ' No']",1
161,"Q: Is this a valid syllogism?
All students are friendly.
Students smile.
Therefore students smile because they are friendly.
A:","[' Yes', ' No']",1
162,"Q: Is this a valid syllogism?
All students are angry.
Students frown.
Therefore students frown because they are angry.
A:","[' Yes', ' No']",1
163,"Q: Is this a valid syllogism?
All students are brave.
Students face their fears.
Therefore students face their fears because they are brave.
A:","[' Yes', ' No']",1
164,"Q: Is this a valid syllogism?
All students are scared.
Students hide.
Therefore students hide because they are scared.
A:","[' Yes', ' No']",1
165,"Q: Is this a valid syllogism?
All students are smart.
Students have good ideas.
Therefore students have good ideas because they are smart.
A:","[' Yes', ' No']",1
166,"Q: Is this a valid syllogism?
All students are lazy.
Students do nothing.
Therefore students do nothing because they are lazy.
A:","[' Yes', ' No']",1
167,"Q: Is this a valid syllogism?
All students are busy.
Students have no time.
Therefore students have no time because they are busy.
A:","[' Yes', ' No']",1
168,"Q: Is this a valid syllogism?
All students are in a rush.
Students late.
Therefore students late because they are in a rush.
A:","[' Yes', ' No']",1
169,"Q: Is this a valid syllogism?
All students are conscientious.
Students arrive on time.
Therefore students arrive on time because they are conscientious.
A:","[' Yes', ' No']",1
170,"Q: Is this a valid syllogism?
All boys are ambitious.
Boys study hard.
Therefore boys study hard because they are ambitious.
A:","[' Yes', ' No']",1
171,"Q: Is this a valid syllogism?
All boys are friendly.
Boys smile.
Therefore boys smile because they are friendly.
A:","[' Yes', ' No']",1
172,"Q: Is this a valid syllogism?
All boys are angry.
Boys frown.
Therefore boys frown because they are angry.
A:","[' Yes', ' No']",1
173,"Q: Is this a valid syllogism?
All boys are brave.
Boys face their fears.
Therefore boys face their fears because they are brave.
A:","[' Yes', ' No']",1
174,"Q: Is this a valid syllogism?
All boys are scared.
Boys hide.
Therefore boys hide because they are scared.
A:","[' Yes', ' No']",1
175,"Q: Is this a valid syllogism?
All boys are smart.
Boys have good ideas.
Therefore boys have good ideas because they are smart.
A:","[' Yes', ' No']",1
176,"Q: Is this a valid syllogism?
All boys are lazy.
Boys do nothing.
Therefore boys do nothing because they are lazy.
A:","[' Yes', ' No']",1
177,"Q: Is this a valid syllogism?
All boys are busy.
Boys have no time.
Therefore boys have no time because they are busy.
A:","[' Yes', ' No']",1
178,"Q: Is this a valid syllogism?
All boys are in a rush.
Boys late.
Therefore boys late because they are in a rush.
A:","[' Yes', ' No']",1
179,"Q: Is this a valid syllogism?
All boys are conscientious.
Boys arrive on time.
Therefore boys arrive on time because they are conscientious.
A:","[' Yes', ' No']",1
180,"Q: Is this a valid syllogism?
All girls are ambitious.
Girls study hard.
Therefore girls study hard because they are ambitious.
A:","[' Yes', ' No']",1
181,"Q: Is this a valid syllogism?
All girls are friendly.
Girls smile.
Therefore girls smile because they are friendly.
A:","[' Yes', ' No']",1
182,"Q: Is this a valid syllogism?
All girls are angry.
Girls frown.
Therefore girls frown because they are angry.
A:","[' Yes', ' No']",1
183,"Q: Is this a valid syllogism?
All girls are brave.
Girls face their fears.
Therefore girls face their fears because they are brave.
A:","[' Yes', ' No']",1
184,"Q: Is this a valid syllogism?
All girls are scared.
Girls hide.
Therefore girls hide because they are scared.
A:","[' Yes', ' No']",1
185,"Q: Is this a valid syllogism?
All girls are smart.
Girls have good ideas.
Therefore girls have good ideas because they are smart.
A:","[' Yes', ' No']",1
186,"Q: Is this a valid syllogism?
All girls are lazy.
Girls do nothing.
Therefore girls do nothing because they are lazy.
A:","[' Yes', ' No']",1
187,"Q: Is this a valid syllogism?
All girls are busy.
Girls have no time.
Therefore girls have no time because they are busy.
A:","[' Yes', ' No']",1
188,"Q: Is this a valid syllogism?
All girls are in a rush.
Girls late.
Therefore girls late because they are in a rush.
A:","[' Yes', ' No']",1
189,"Q: Is this a valid syllogism?
All girls are conscientious.
Girls arrive on time.
Therefore girls arrive on time because they are conscientious.
A:","[' Yes', ' No']",1
190,"Q: Is this a valid syllogism?
All people are ambitious.
People study hard.
Therefore people study hard because they are ambitious.
A:","[' Yes', ' No']",1
191,"Q: Is this a valid syllogism?
All people are friendly.
People smile.
Therefore people smile because they are friendly.
A:","[' Yes', ' No']",1
192,"Q: Is this a valid syllogism?
All people are angry.
People frown.
Therefore people frown because they are angry.
A:","[' Yes', ' No']",1
193,"Q: Is this a valid syllogism?
All people are brave.
People face their fears.
Therefore people face their fears because they are brave.
A:","[' Yes', ' No']",1
194,"Q: Is this a valid syllogism?
All people are scared.
People hide.
Therefore people hide because they are scared.
A:","[' Yes', ' No']",1
195,"Q: Is this a valid syllogism?
All people are smart.
People have good ideas.
Therefore people have good ideas because they are smart.
A:","[' Yes', ' No']",1
196,"Q: Is this a valid syllogism?
All people are lazy.
People do nothing.
Therefore people do nothing because they are lazy.
A:","[' Yes', ' No']",1
197,"Q: Is this a valid syllogism?
All people are busy.
People have no time.
Therefore people have no time because they are busy.
A:","[' Yes', ' No']",1
198,"Q: Is this a valid syllogism?
All people are in a rush.
People late.
Therefore people late because they are in a rush.
A:","[' Yes', ' No']",1
199,"Q: Is this a valid syllogism?
All people are conscientious.
People arrive on time.
Therefore people arrive on time because they are conscientious.
A:","[' Yes', ' No']",1
200,"Q: Is this syllogism valid?
All men are ambitious.
All men study hard.
Therefore men study hard because they are ambitious.
A:","[' Yes', ' No']",1
201,"Q: Is this syllogism valid?
All men are friendly.
All men smile.
Therefore men smile because they are friendly.
A:","[' Yes', ' No']",1
202,"Q: Is this syllogism valid?
All men are angry.
All men frown.
Therefore men frown because they are angry.
A:","[' Yes', ' No']",1
203,"Q: Is this syllogism valid?
All men are brave.
All men face their fears.
Therefore men face their fears because they are brave.
A:","[' Yes', ' No']",1
204,"Q: Is this syllogism valid?
All men are scared.
All men hide.
Therefore men hide because they are scared.
A:","[' Yes', ' No']",1
205,"Q: Is this syllogism valid?
All men are smart.
All men have good ideas.
Therefore men have good ideas because they are smart.
A:","[' Yes', ' No']",1
206,"Q: Is this syllogism valid?
All men are lazy.
All men do nothing.
Therefore men do nothing because they are lazy.
A:","[' Yes', ' No']",1
207,"Q: Is this syllogism valid?
All men are busy.
All men have no time.
Therefore men have no time because they are busy.
A:","[' Yes', ' No']",1
208,"Q: Is this syllogism valid?
All men are in a rush.
All men late.
Therefore men late because they are in a rush.
A:","[' Yes', ' No']",1
